Name;Category;Price
Bananas;Banana;1.5
Avocados Pack;Avocado;2.77
Cauliflower;Cauliflower;3.99
English Cucumber;Cucumber;1.38
Jelly Orange (3lbs);Orange;8.85
Honey Mandarin;Orange;7.52
Fresh Banana (~3lbs);Banana;2.31
Large Avocado (1pc);Avocado;2.99
Navel Oranges (4lbs);Orange;6.72
Sunkist Oranges (4lbs);Orange;8.00
