Name;Category;Price
Bananas;Banana;1.70
Avocados Bag;Avocado;5.87
Ginger;Ginger;0.98
Cucumber;Cucumber;1.67
Lettuce Iceberg;Lettuce;2.97
Broccoli;Broccoli;3.47
fairlife 2% Ultrafiltered Milk 1.5L Bottle, 1.5 x L;Mlik;5.98
Sealtest Partly Skimmed 2% Milk;Mlik;6.08
