Name;Category;Price
Bananas;Banana;0.70
Avocados Bag;Avocado;0.87
Ginger;Ginger;0.98
Cucumber;Cucumber;0.67
Lettuce Iceberg;Lettuce;0.97
Broccoli;Broccoli;0.47
Banana, Sold in singles, 0.15-0.23 kg;Banana;0.30
Avocado, Pack of 5;Avocado;5.87
Orango, Seedless, Sold in singles, 0.25-0.28 kg;Orange;0.46
Your Fresh Market Organic Avocados, Pack of 4;Avocado;5.97
