Name;Category;Price
Bananas, Bunch;Banana;1.49
Avocados Bag, 5-Pack;Avocado;1.94
Ginger;Ginger;1.38
Cucumber;Cucumber;1.49
Lettuce Iceberg;Lettuce;2.99
Cauliflower;Cauliflower;4.99
Broccoli;Broccoli;1.99
Plantains, Single;Banana;1.01
Purple Eggplants;Eggplant;3.76
Long Eggplants;Eggplant;1.26
Ataulfo Mango;Mango;1.49
Mango;Mango;0.99
Organic Bananas, Bunch;Banana;2.40
