Name;Category;Price
Wrapped Broccoli Crown;Broccoli;1.98
Frozen Broccoli Florets 500 g;Broccoli;2.57
Avocados Pack;Avocado;3.98
Avocado 1 unit;Avocado;1.98
2% Milk PurFiltre 2 L;Milk;5.64
1% Chocolate Milk 2 L;Milk;5.19
1% Chocolate Milk 6x237 mL;Milk;5.99
